kinase,aCD3_5min,aCD3_aCD226_5min,aCD3_aICOS_5min,aCD3_aCD2_5min,aCD3_10min,aCD3_aCD226_10min,aCD3_aICOS_10min,aCD3_aCD2_10min
ABL1,1.1017045454545455,1.2825000000000002,1.2300909090909091,1.3873863636363633,0.7344318181818182,0.6947500000000001,1.0487045454545454,1.4629545454545456
AKT1,0.7014329896907217,0.8698865979381444,0.8576082474226805,1.1695360824742267,0.7715257731958763,0.6603298969072166,0.897618556701031,0.9461443298969072
AKT2,2.620111111111111,1.9196666666666669,2.0343333333333335,2.540111111111111,2.5741111111111112,2.5756666666666668,2.5166666666666666,2.453
AKT3,0.3023076923076923,1.071,1.1522307692307692,0.6717692307692308,1.325769230769231,0.12876923076923086,0.5533076923076923,1.4056923076923078
ALK,3.595,3.7847999999999997,4.2086,4.2394,2.9684,3.5462000000000002,2.6222000000000003,4.282
ATM,0.17159375,0.10867187500000004,0.15337499999999998,0.300921875,0.017750000000000044,0.06984374999999998,0.230296875,0.30700000000000005
ATR,-0.24007142857142855,0.34953571428571434,-0.04071428571428574,0.17828571428571421,0.16407142857142856,-0.25,0.3865,-0.01650000000000002
AURKA,0.3766923076923077,1.1174615384615385,1.232653846153846,0.7783076923076924,0.24950000000000008,0.9566153846153846,0.8003461538461537,1.3400384615384615
AURKB,0.5303246753246753,0.8364935064935064,0.9130389610389611,0.7547662337662339,0.2986753246753247,0.3299220779220779,0.5230519480519481,0.7473896103896104
BCR,1.2273999999999998,2.01,2.0598,2.9210000000000003,2.1766,2.0274,2.1296,3.2202000000000006
BRAF,2.0244285714285715,2.4935714285714283,2.8491428571428576,3.202285714285715,2.3714285714285714,1.5987142857142855,2.6647142857142856,2.5797142857142856
BRSK1,-0.25166666666666665,2.130333333333333,1.4048333333333332,1.9136666666666668,1.5335,1.3175000000000001,0.7188333333333334,2.7550000000000003
CAMK1,1.1562000000000003,1.1600000000000001,1.2362,1.0332000000000001,0.7807999999999999,0.9498000000000001,-0.024399999999999988,0.49139999999999995
CAMK2A,-0.4060714285714287,-0.17121428571428604,0.17364285714285707,0.6026428571428573,0.27485714285714286,-0.02564285714285722,0.5257142857142858,0.1812142857142856
CAMK2B,0.6118000000000002,1.6694,1.4224,2.4066,1.1854,1.1656000000000002,1.2919999999999998,2.4096
CAMKK1,2.4497999999999998,3.6516000000000006,3.3321999999999994,2.2654,1.3307999999999998,2.7434000000000003,2.5846,4.3042
CDC7,0.8281428571428572,0.5322857142857143,0.992,0.9585714285714285,1.8927142857142858,1.2127142857142856,1.0245714285714285,0.7344285714285714
CDK1,0.6479659574468085,0.6161234042553192,0.5652553191489361,0.8585617021276596,0.38316595744680854,0.2903957446808511,0.7269787234042553,0.8246851063829788
CDK12,-1.8128571428571427,-0.834285714285714,-1.1574285714285713,-0.4627142857142853,-1.898142857142857,-1.453142857142857,0.19871428571428562,-2.0035714285714286
CDK18,1.1616000000000002,1.8283999999999998,-0.8827999999999998,0.9832000000000001,1.0899999999999999,0.2396000000000001,1.1909999999999998,1.2701999999999998
CDK2,0.6358490566037736,0.7831383647798742,0.7098301886792453,0.9925723270440253,0.48528930817610066,0.45750943396226423,0.5772578616352201,1.0324528301886793
CDK3,1.1616000000000002,1.8283999999999998,-0.8827999999999998,0.9832000000000001,1.0899999999999999,0.2396000000000001,1.1909999999999998,1.2701999999999998
