kinase,aCD3_5min,aCD3_aCD226_5min,aCD3_aICOS_5min,aCD3_aCD2_5min,aCD3_10min,aCD3_aCD226_10min,aCD3_aICOS_10min,aCD3_aCD2_10min
ABL1,0.562740715128426,0.6395087181056692,0.7090387799698703,0.5674536650994948,0.18884637325194584,-0.12803853139659907,0.6545189899460558,0.9664508195770956
AKT1,-0.33756691129325167,-0.35599077729109874,-0.36631078559951946,-0.03117263089112275,0.4611948480891923,-0.24091886892091047,0.28450174264027855,-0.22622538829668856
AKT2,1.9109164559786471,0.9117276578129672,1.1107968073850119,1.2059702651543065,2.368228721329829,2.181316024883543,1.7195206814650912,1.4247478213667515
AKT3,-0.7562879491163321,0.0572427146526097,0.2016575651169385,-0.42446236935331144,0.815836260675285,-0.7771012525390846,-0.4494395019629777,0.46842753729760067
ALK,2.386124018704169,2.103800785309742,2.515324502247128,2.0667487769849124,1.8703454966011337,2.5660721129837616,1.5710276641521486,2.3666444580869204
ATM,-2.005102372912527,-2.3556972944880665,-2.2452195790487735,-1.8798706664564864,-1.9823336321136098,-1.9178235853318828,-1.817962389506986,-1.9273350033167067
ATR,-1.9804811891027991,-0.9397444317953492,-1.9717469186735865,-1.4475210754051755,-0.975117193306135,-1.7486162879759108,-0.6909843962497516,-1.7270853783043867
AURKA,-0.8882908860580014,0.3885863200305995,0.5340651894195212,-0.5910519253614955,-0.7993526872156624,0.4543282914183597,-0.10261186415564573,0.6066542617551353
AURKB,-0.9569146607145883,-0.2977051150928083,-0.13250299638068616,-1.0035838952748275,-1.253073978012974,-1.4015274359330476,-1.0842076435988803,-0.817168587343506
BCR,0.3179406157250541,0.8600670410292273,0.7579222256222811,1.2558107996269683,1.3716084273296778,1.0604820283320677,1.247344018319886,1.3935979803659375
BRAF,1.2008919334134243,1.4164861306984153,1.7623283098559266,1.4939746424954037,1.8703591722735944,1.0611865466155488,1.8665365923477202,1.591871688521213
BRSK1,-0.8920953278533988,0.934118790988615,0.43110329181946294,0.5062964165969573,0.8575349235002402,0.6201541264934365,-0.03808953966919329,1.321894397826628
CAMK1,0.2559736409564086,0.14158394682495545,0.23647078776529765,-0.12223343856641575,0.13325344270472034,0.18519272780336327,-0.7668258325673154,-0.30882074154852346
CAMK2A,-1.6514963921269357,-1.225989216795051,-1.0354796470643248,-0.547644827202955,-0.4519269674506181,-1.316057128367445,-0.44930527768512635,-1.0471260488488818
CAMK2B,-0.1723537449443456,0.5591589776479327,0.37159453899774636,0.8399652732627492,0.2776720652690236,0.33338273296661686,0.3303834043654849,1.0891300383930735
CAMKK1,1.240700249603932,2.077967240449687,1.9659982497043318,0.7915163265201337,0.5909040467986081,1.6550484624971704,1.4014222525181725,2.1861617588895723
CDC7,-0.0995008682647397,-0.42430261112141654,0.11706168454852241,-0.1080529702160626,1.3051842478623767,0.46304227187996383,0.12833079164097408,-0.3325687949795952
CDK1,-0.9880016147553966,-1.8176493970284355,-2.1321458786034784,-1.485870346341949,-1.7047447109301028,-2.425393857897838,-0.503008493729005,-1.038909183272918
CDK12,-2.5166900906805854,-1.6394725813454527,-1.9572396897487305,-1.326101698280581,-2.552578662698968,-2.3443163688159605,-0.6360439850030652,-2.654330006846062
CDK18,0.3203678839746831,0.7018896919040319,-1.3172231251588609,0.03768777740713295,0.21571217048044572,-0.5045425244981762,0.30617358284449087,0.1448939323500244
CDK2,-0.8553987366201538,-0.7666697875569642,-1.0942752015228678,-0.696795887656216,-0.8534233956475141,-1.5892125936160535,-1.0588399707925014,0.1216016575395684
CDK3,0.2715908148435104,0.4529739089831499,-1.3664065329706654,-0.0460674612197924,0.4172951574547512,-0.28923030657748394,0.45513963036422334,0.24705921456359678
CDK4,-0.12391710473862932,0.11455483091314918,-0.8112628199885291,-0.9348651179351184,-0.16666394730804365,0.1853631514819241,-0.4463266507749892,0.010379426205571115
CDK5,0.4333359395188159,0.05244978279952634,-0.6202734906301334,0.042353090641685735,0.21173093959853614,-0.1192022235680717,0.4597664208117327,0.20393969263201714
CDK6,-0.086848965757951,0.23276902670025743,-0.33505090832306184,-0.58862018232459,-0.26207396180345394,0.2383418871961154,0.014787950259046626,-0.06300321636216279
CDK7,-0.7989207826530573,-0.40386061552577823,-1.1002037440637684,-0.7567057314771283,-0.6644467000074036,-0.5715310959413631,0.6846095080784105,-0.6453189211952947
CDK9,-2.1553545569027883,-1.4983787298188875,-2.432532951120492,-1.2943470771834593,-2.0135378150693457,-1.3374331723626094,-0.35779535991768613,-1.6754451112265547
CHEK1,-0.5449006755050808,-0.8186923133463496,-1.0569533773406046,-1.9120023669027022,-0.2415464337317848,-0.9940628057222286,-0.5657967139839776,0.9411465011474299
CHEK2,-0.026672616380494892,0.27171267667330706,-0.48447511566346096,-0.24727813359145878,-0.2961736851301209,0.06268118130353857,0.02811963281994112,1.3901574425412486
CHUK,0.6929536484507829,1.5752718363925025,0.7809938001091652,1.6924003367087794,0.871615808396587,1.8400814391659281,1.4648245007317402,1.6509434580477524
CSNK1A1,-1.5269601687933203,-2.1899725010287567,-0.9633940500527101,-1.693334393672338,0.8672227294636308,-1.432555067471114,-1.6631852535889982,-0.3582638452975048
CSNK1D,0.496746899555873,0.6929260898610938,1.177141362877702,0.5279690034743052,0.46885522799257734,0.15478779432175488,0.7078211045242713,0.339195042408518
CSNK1E,1.6702197610982656,0.9611173378961132,1.5874360143584534,1.8364774150564624,1.5908297404221918,0.9563525931718337,1.212706133897874,1.8521203973288636
CSNK2A1,-0.762758375136761,-0.2650437311062448,-1.244694247501734,-1.014873190250144,-2.0976098587202063,-0.4698689561268712,-1.7429463154160951,-1.239938219428862
DAPK3,-0.08180504604290754,0.05801549829389569,-0.12340095345979427,-1.1057139554661843,0.6309613443087977,-0.39477790207023206,0.28362534273963447,0.954634090124509
DYRK1A,-0.754242715881414,0.045073234534306936,0.05757884382187011,0.23963379521849948,-0.37788214875834525,-0.06333175826879835,1.4829594696231245,-0.6658714583511368
DYRK2,-1.3083320720479161,-1.7692232242072417,-1.0524447973396156,-0.9859120993981112,-0.7931102609102965,-0.42266623772597905,-0.8081151283393658,-1.063490872119013
EGFR,0.9075506349962057,1.6633646995210083,1.1675578914117268,0.5981945466360898,1.0050113591849656,-0.20401777752872546,1.9959935202187669,1.5601366561091692
FER,-1.048768562488757,-0.6935246873156508,-0.5541095188477326,0.17325796175740715,-0.3229412375252486,0.018265522951823814,0.03604532085751823,0.5877568385214766
FGFR3,2.4186931270600605,1.7370371736577428,2.0056157925728075,1.759700429692674,1.1540901334256664,1.8847983927966128,1.6281894411953768,1.0745374977844484
FYN,3.279105574757729,2.4365716929938954,2.3679635962678462,2.1814584096233456,2.0761571968182126,1.7569977379393253,1.5009501302143515,3.0421759216671034
GSK3A,-1.7203177050712495,-1.6105395942367913,-1.1409656358110865,-1.359306760841907,-0.5268953081789566,-0.9116928997992919,-0.7736505844107003,-1.016533035771583
GSK3B,-1.8745997130372725,-1.0665197603343488,-2.172066952547685,-0.6682720122546065,-1.229375844267682,-1.0847639222199943,-1.6782826781127973,-0.4002974432317454
HCK,-0.17710486037555817,-0.08453255438560564,-0.28416736371723716,-1.4335399701537648,-0.26893896181430377,-0.29354338821860304,-2.115855755115561,-0.4707124686405491
HIPK2,-0.6155269160064044,-1.2010213808023928,-1.169339652817628,-0.9009750594404493,-1.4565392373516053,-0.6142533497077663,-1.0888732777706303,-1.205854597918876
IKBKB,0.9011683145939487,1.3018551974147128,0.39218988421198964,0.4809764003354234,0.8773117868870792,0.9920897719460198,0.848140480005688,-0.23281185706527865
ITK,2.304730417244984,3.1259834722930786,2.7165731168155225,2.5002683209948033,3.1294051937884464,2.209097679303505,2.484276874270762,3.7554953378250726
JAK1,-1.4959491721446343,-2.2589934567235654,-1.0669974798712019,-2.8674985995147266,-2.56249933077182,-1.3540905771386385,-1.9820392868896757,-2.2517929786667454
JAK2,0.127222029046063,0.4934371129718483,0.30334073812558515,0.2450099742051456,-0.005734001231519014,-0.23915926249357386,1.0548852667507078,0.487531073284283
LATS1,0.871185415123875,0.2497339756963482,1.0012815234186934,-0.06828808892001557,0.8660213212027572,0.7337668838109911,-1.4179353888695327,0.2917824254859324
LATS2,0.7289501444545118,0.35493931461846834,0.6818316034953262,0.4220280411979648,1.1674276591286452,1.0736657578025288,-1.7609883378921283,1.0447154160947054
LCK,0.922292043517869,1.1937034826446848,1.3097459822398967,1.5244467570773916,1.6102710567937712,0.3787419463818654,1.2616117183244084,2.5804788543971493
LYN,0.2582854191272257,0.29324240806963714,0.2173554778581597,-0.04049537469182652,-0.7472088028597422,2.350499706682029,-0.18675069330449354,0.35327315994426983
MAP2K1,1.7351448494697597,2.1079576919664196,3.2494706764559327,1.6675975727513004,2.186554841016675,1.3658155676574262,2.5739019369610605,2.0964025488596807
MAP3K5,0.34643633177247407,0.7849351198849076,0.7189005589367431,1.3895921385132264,1.7764770087855628,0.9154670283452259,2.4631395589488676,1.8689618976455977
MAP3K7,1.0275267912254644,1.5366903365611877,1.1079160960265746,0.2826323388265239,1.1379917405569104,1.9947672034048505,0.15962711755595443,1.950843806953553
MAP3K8,3.194018903531199,2.5318498505376716,3.029278792497339,2.5873218670892797,3.265022813310804,2.977718379349858,3.1027512515659708,2.986597974011235
MAP4K1,-1.2542524918577087,-0.6441426822812144,0.16172217582492654,-1.0820961371312576,1.420131110563425,0.1609753692746058,0.173307796044142,0.6433862801779046
MAPK1,4.246023013968806,3.8776399272011646,3.991647171683879,3.468734267071231,4.0582734690642095,3.4664778590884913,3.5178076801765545,3.6589355237293146
