contrast,label,log2fc_mean,log2fc_std,neglog10p_median,q_median
aCD3_5min,αCD3 5min,0.8296401985111662,2.8186304114406124,1.152,0.14079893231296023
aCD3_aCD226_5min,αCD3+αCD226 5min,0.9495861042183622,3.079730630285646,1.452,0.0706366339583914
aCD3_aICOS_5min,αCD3+αICOS 5min,0.9336595533498759,2.982129271058129,1.483,0.0657703261751966
aCD3_aCD2_5min,αCD3+αCD2 5min,1.1583995037220844,3.4491144684375232,2.042,0.01815641060356372
aCD3_10min,αCD3 10min,0.6588397022332506,2.666037677402665,1.088,0.16331647427171844
aCD3_aCD226_10min,αCD3+αCD226 10min,0.7344828784119106,2.6571634425934487,1.027,0.1879446621129276
aCD3_aICOS_10min,αCD3+αICOS 10min,0.8164039702233251,2.7920830116201194,1.248,0.11287541538370682
aCD3_aCD2_10min,αCD3+αCD2 10min,1.0167086848635236,3.0441590397324374,1.711,0.038907201632453245
