layer,term,p_fisher,neglog10
GOBP,histamine transport,4.131530154814022e-05,4.38388907310927
GOBP,histamine secretion involved in inflammatory response,4.131530154814022e-05,4.38388907310927
GOBP,histamine secretion by mast cell,4.131530154814022e-05,4.38388907310927
GOBP,vesicle targeting,4.131530154814022e-05,4.38388907310927
GOBP,histamine secretion,4.131530154814022e-05,4.38388907310927
GOMF,SNAP receptor activity,0.00020534719594746568,3.68751122313834
KEGG,SNARE interactions in vesicular transport,0.00020534719594746568,3.68751122313834
GOCC,SNARE complex,0.00020534719594746568,3.68751122313834
GOMF,syntaxin binding,0.00028691453398535895,3.5422474515108258
GOBP,hormone secretion,0.00028691453398535895,3.5422474515108258
GOBP,hormone transport,0.00028691453398535895,3.5422474515108258
GOBP,vesicle fusion,0.0003817920800729284,3.418173084890229
GOCC,mast cell granule,0.0003817920800729284,3.418173084890229
GOBP,organelle organization,0.0005426779806137773,3.2654577997434244
GOMF,SNARE binding,0.0006111563670634873,3.2138476593734384
GOCC,stored secretory granule,0.0016103911766539097,2.7930686176158104
GOCC,lytic vacuole,0.0020450825181094878,2.6892891637267655
GOCC,lysosome,0.0020450825181094878,2.6892891637267655
GOCC,synapse,0.00252954180620148,2.5969581385315252
GOCC,vacuole,0.004275389834336996,2.36902427972351
GOCC,heterochromatin,0.006056372731930495,2.2177874045715025
GOCC,focal adhesion,0.006530117140225988,2.18507902808213
GOMF,ribosome binding,0.023615173212822835,1.6268088646078287
GOMF,actin monomer binding,0.02750321632596242,1.5606165152265026
GOMF,ribonucleoprotein binding,0.03523868126676098,1.4529803525098497
GOMF,histone acetyl-lysine binding,0.050548257035365404,1.2962938148103342
GOMF,single-stranded RNA binding,0.050548257035365404,1.2962938148103342
GOMF,ligand-dependent nuclear receptor binding,0.05434226999426506,1.2648622241184866
KEGG,mTOR signaling pathway,0.12040312047133662,0.9193622573811763
KEGG,Adipocytokine signaling pathway,1.0,-0.0
