layer,term,p_fisher,neglog10
GOMF,C2H2 zinc finger domain binding,4.6789787350362536e-05,4.3298489285794375
GOCC,Cajal body,0.00010106058737865732,3.9954181819085113
GOMF,protein N-terminus binding,0.00018576718151851228,3.731031008019075
GOCC,catalytic step 2 spliceosome,0.0004713369047302513,3.326668554525901
GOCC,spliceosomal complex,0.0006545815507810218,3.1840362393379906
GOBP,RNA processing,0.0010290129747363534,2.987579149221165
GOCC,nuclear speck,0.0015131106520725292,2.8201293113506782
GOBP,nuclear mRNA splicing. via spliceosome,0.001946448137072359,2.710757163527304
GOBP,RNA splicing. via transesterification reactions with bulged adenosine as nucleophile,0.001946448137072359,2.710757163527304
GOMF,protein domain specific binding,0.001946448137072359,2.710757163527304
GOBP,RNA splicing. via transesterification reactions,0.002005599699101335,2.6977557442067206
GOCC,nuclear body,0.003968044244103833,2.4014234940624593
GOBP,RNA splicing,0.004347614416525222,2.3617489798113493
GOBP,mRNA processing,0.006460389420194094,2.1897413027565995
GOCC,ribonucleoprotein complex,0.007105321161056713,2.148416287149254
GOBP,membrane depolarization,0.008910839905406235,2.0500813589157745
GOBP,regulation of insulin-like growth factor receptor signaling pathway,0.008910839905406235,2.0500813589157745
GOMF,protein C-terminus binding,0.009517523310102366,2.0214760508480913
GOBP,mRNA metabolic process,0.01145162242058162,1.9411329798402062
GOMF,poly-pyrimidine tract binding,0.014814560035298163,1.8293112417255761
GOMF,poly(U) RNA binding,0.014814560035298163,1.8293112417255761
GOMF,poly-purine tract binding,0.017755412094894285,1.750669243471536
GOMF,protein self-association,0.02068894496071342,1.6842616557539427
GOCC,nucleoplasm part,0.03151135426947642,1.501532931668213
GOMF,protein binding,0.033312978631253466,1.47738653376687
GOCC,nuclear inclusion body,0.049624914805229646,1.3043002258137235
GOCC,chromosome. centromeric region,0.0638234974055398,1.1950194009837865
KEGG,Acute myeloid leukemia,1.0,-0.0
KEGG,Adherens junction,1.0,-0.0
KEGG,Adipocytokine signaling pathway,1.0,-0.0
