layer,term,p_fisher,neglog10
GOBP,establishment of protein localization in plasma membrane,8.180120756139223e-07,6.087240285162683
GOBP,establishment of protein localization in membrane,3.199237804244631e-06,5.4949534769422295
GOBP,regulation of actin filament-based process,8.290861888833348e-06,5.081400319376445
GOBP,regulation of actin cytoskeleton organization,8.290861888833348e-06,5.081400319376445
GOBP,regulation of blood pressure,2.2147886620638693e-05,4.654667708392767
GOBP,tight junction assembly,7.363075901833616e-05,4.132940722601174
GOBP,regulation of cytoskeleton organization,8.266257287752638e-05,4.082691081402208
GOBP,negative regulation of GTPase activity,0.00015421489997950274,3.811873663468843
GOBP,actomyosin structure organization,0.00015421489997950274,3.811873663468843
GOMF,PDZ domain binding,0.00040175735169020396,3.396036167410229
KEGG,Cell adhesion molecules (CAMs),0.00040175735169020396,3.396036167410229
KEGG,Epithelial cell signaling in Helicobacter pylori infection,0.00048146897446739597,3.317431693278249
GOCC,occluding junction,0.0008707577358057539,3.0601026585833884
GOCC,tight junction,0.0008707577358057539,3.0601026585833884
GOCC,cell-cell junction,0.0009507515374370908,3.0219329636288124
KEGG,Tight junction,0.002895523687276864,2.53827287790327
KEGG,Leukocyte transendothelial migration,0.003974369423780275,2.4007317670066484
GOCC,microtubule cytoskeleton,0.004451299403924711,2.351513193158674
GOMF,protein complex scaffold,0.008910839905406235,2.0500813589157745
GOMF,receptor tyrosine kinase binding,0.008910839905406235,2.0500813589157745
GOMF,receptor signaling complex scaffold activity,0.008910839905406235,2.0500813589157745
GOMF,structural molecule activity,0.01022910394966373,1.9901624080044034
GOMF,ankyrin binding,0.011866374180042199,1.9256819612602007
GOCC,cytoskeleton,0.015365168615260043,1.8134626694931741
GOCC,cell junction,0.017357889701205755,1.7605030756359559
GOMF,protein kinase inhibitor activity,0.017755412094894285,1.750669243471536
GOMF,translation initiation factor binding,0.017755412094894285,1.750669243471536
GOMF,kinase inhibitor activity,0.017755412094894285,1.750669243471536
GOCC,protein serine/threonine phosphatase complex,0.02068894496071342,1.6842616557539427
GOCC,spectrin,0.02068894496071342,1.6842616557539427
