layer,term,p_fisher,neglog10
GOCC,membrane-bounded organelle,0.0031248626370993524,2.505169068643404
GOCC,intracellular membrane-bounded organelle,0.007405005461453271,2.1304746168351234
GOBP,protein autoubiquitination,0.008910839905406235,2.0500813589157745
GOMF,calcium-release channel activity,0.008910839905406235,2.0500813589157745
GOMF,small conjugating protein ligase activity,0.009517523310102366,2.0214760508480913
GOMF,ubiquitin-protein ligase activity,0.009517523310102366,2.0214760508480913
GOMF,acid-amino acid ligase activity,0.009870351695118093,2.005667372504841
GOMF,ligase activity. forming carbon-nitrogen bonds,0.01096427606848906,1.9600200379344364
GOBP,brain morphogenesis,0.011866374180042199,1.9256819612602007
GOCC,motile cilium,0.011866374180042199,1.9256819612602007
GOBP,cerebellar cortex morphogenesis,0.011866374180042199,1.9256819612602007
GOBP,protein ubiquitination,0.016753744477056853,1.7758881125685904
GOMF,ligase activity,0.02005632854782795,1.69774856470301
GOCC,pericentriolar material,0.02068894496071342,1.6842616557539427
GOBP,olfactory bulb development,0.02068894496071342,1.6842616557539427
GOBP,cilium assembly,0.02653411140949601,1.576195451709526
GOCC,internal side of plasma membrane,0.029445774087234304,1.5309770242142238
GOCC,centriolar satellite,0.029445774087234304,1.5309770242142238
GOCC,cilium,0.029445774087234304,1.5309770242142238
GOBP,neural precursor cell proliferation,0.029445774087234304,1.5309770242142238
KEGG,MAPK signaling pathway - fly,0.032350175760788726,1.490123355436291
GOMF,ligand-gated channel activity,0.032350175760788726,1.490123355436291
GOMF,ligand-gated ion channel activity,0.032350175760788726,1.490123355436291
GOBP,protein modification by small protein conjugation,0.03642111550501413,1.4386467567768726
GOBP,calcium ion transmembrane transport,0.0381372540457282,1.4186505801867042
GOMF,calcium channel activity,0.0381372540457282,1.4186505801867042
GOCC,centriole,0.0381372540457282,1.4186505801867042
GOCC,nucleus,0.040697047300689106,1.3904370990680297
KEGG,Acute myeloid leukemia,1.0,-0.0
KEGG,Adipocytokine signaling pathway,1.0,-0.0
