layer,term,p_fisher,neglog10
GOCC,histone acetyltransferase complex,3.328114841978603e-05,4.4778016960901255
GOBP,aorta morphogenesis,6.189084520945228e-05,4.208373586344273
GOCC,MOZ/MORF histone acetyltransferase complex,6.189084520945228e-05,4.208373586344273
GOCC,H3 histone acetyltransferase complex,6.189084520945228e-05,4.208373586344273
GOBP,histone acetylation,9.034362828733711e-05,4.0441024717386815
GOBP,internal peptidyl-lysine acetylation,9.034362828733711e-05,4.0441024717386815
GOBP,artery morphogenesis,0.00010298054354054586,3.987244820257504
GOBP,peptidyl-lysine acetylation,0.00011080320290312279,3.955447685608963
GOBP,internal protein amino acid acetylation,0.00011080320290312279,3.955447685608963
GOBP,peptidyl-lysine modification,0.00016036780867607458,3.794882805113181
GOBP,protein acetylation,0.00016036780867607458,3.794882805113181
GOBP,protein acylation,0.00018981033444884427,3.7216801455866935
GOCC,nucleosome,0.000368278664903078,3.43382343993751
GOMF,lysine N-acetyltransferase activity,0.001063501557563347,2.973261869709845
GOMF,histone acetyltransferase activity,0.001063501557563347,2.973261869709845
GOCC,protein-DNA complex,0.001063501557563347,2.973261869709845
GOMF,N-acetyltransferase activity,0.0015419704742574655,2.811923942102067
GOMF,N-acyltransferase activity,0.0017205175273173252,2.7643408987603286
GOMF,acetyltransferase activity,0.0017205175273173252,2.7643408987603286
GOMF,transferase activity. transferring acyl groups other than amino-acyl groups,0.0021059044460616724,2.6765613385112204
GOMF,transferase activity. transferring acyl groups,0.002312647060856542,2.6358906409942104
GOCC,PML body,0.0037467507396598937,2.426345198283582
GOMF,DNA binding,0.0300638711888166,1.5219550980107797
GOMF,zinc ion binding,0.030669332103817382,1.5132956816890168
GOCC,nucleoplasm part,0.049970537132339427,1.3012859823093177
GOCC,nuclear body,0.06435145163872116,1.1914416518431135
GOCC,Golgi apparatus,0.0690817387824133,1.1606367398060293
KEGG,Acute myeloid leukemia,1.0,-0.0
KEGG,Adherens junction,1.0,-0.0
KEGG,Adipocytokine signaling pathway,1.0,-0.0
