layer,term,p_fisher,neglog10
GOBP,cellular process,0.0005874955184386174,3.2309954419495064
GOBP,biological regulation,0.0008263691414359491,3.0828259087613175
GOBP,regulation of biological process,0.0011940236698400391,2.9229870638439817
GOBP,regulation of cellular process,0.0016599551200288918,2.7799036537595154
GOCC,nucleolus,0.001927400196445521,2.715028101087732
GOCC,intracellular membrane-bounded organelle,0.007405005461453271,2.1304746168351234
GOBP,metabolic process,0.008407382221444435,2.075339207978245
GOMF,binding,0.008633010480112587,2.063837731873239
GOCC,intracellular non-membrane-bounded organelle,0.0095115450751089,2.0217489296356432
GOCC,non-membrane-bounded organelle,0.0095115450751089,2.0217489296356432
GOBP,cellular metabolic process,0.011526336563086215,1.9383087033945094
GOBP,primary metabolic process,0.012811421780352203,1.8924026706380273
GOBP,epithelial cell morphogenesis,0.017755412094894285,1.750669243471536
GOCC,primary cilium,0.017755412094894285,1.750669243471536
GOCC,cilium,0.029445774087234304,1.5309770242142238
GOBP,macromolecule metabolic process,0.03189089644201389,1.4963332727185301
GOCC,membrane-bounded organelle,0.03350977208623492,1.4748285259703724
GOCC,membrane,0.038748430424705764,1.411745884685282
GOCC,nucleus,0.040697047300689106,1.3904370990680297
GOMF,catalytic activity,0.19640925998809397,0.7068380406482079
GOMF,GTPase activator activity,0.2794928812597414,0.5536292492050509
GOMF,ion binding,0.3458872128731788,0.46106549314975587
GOMF,cation binding,0.3458872128731788,0.46106549314975587
GOMF,metal ion binding,0.34589713965333746,0.46105302930656394
GOMF,nucleic acid binding,0.34833503590584347,0.4580028415471184
GOMF,enzyme activator activity,0.35946461164275795,0.4443438583402544
GOMF,identical protein binding,0.36356731003478887,0.4394151730566346
KEGG,Acute myeloid leukemia,1.0,-0.0
KEGG,Adherens junction,1.0,-0.0
KEGG,Adipocytokine signaling pathway,1.0,-0.0
