layer,term,p_fisher,neglog10
GOMF,GTPase activator activity,0.006705610338415686,2.1735616869335455
KEGG,Spliceosome,0.009498177613732593,2.0223597134713356
GOBP,nucleotide-excision repair. DNA damage removal,0.011869313543422386,1.925574397551264
GOBP,DNA excision,0.011869313543422386,1.925574397551264
GOBP,positive regulation of monocyte differentiation,0.011869313543422386,1.925574397551264
GOBP,RNA localization,0.011869313543422386,1.925574397551264
GOMF,enzyme activator activity,0.015330810673479706,1.814434879606801
GOBP,apoptotic chromosome condensation,0.01579826259493959,1.8013906717113621
GOMF,protein serine/threonine kinase activator activity,0.01579826259493959,1.8013906717113621
GOBP,regulation of nucleobase-containing compound metabolic process,0.01705592982833571,1.7681245994282215
GOBP,regulation of nitrogen compound metabolic process,0.01733148271809048,1.7611642815596218
GOBP,regulation of cellular catabolic process,0.018743588650517735,1.727147255395439
GOMF,endonuclease activity,0.01971353554334361,1.7052354797658884
GOBP,spliceosome assembly,0.01971353554334361,1.7052354797658884
GOCC,lateral plasma membrane,0.01971353554334361,1.7052354797658884
GOMF,GTPase regulator activity,0.022565685334044065,1.6465514721472103
KEGG,Regulation of actin cytoskeleton,0.02314905953040708,1.6354666482335567
GOCC,extrinsic to internal side of plasma membrane,0.023615173212822835,1.6268088646078287
GOCC,small nuclear ribonucleoprotein complex,0.023615173212822835,1.6268088646078287
GOMF,nucleoside-triphosphatase regulator activity,0.024058604790056025,1.6187295619317132
GOMF,nucleotide kinase activity,0.02750321632596242,1.5606165152265026
GOMF,nucleic acid binding,0.030676221861788328,1.5131981299126425
GOMF,nucleobase-containing compound kinase activity,0.03523868126676098,1.4529803525098497
GOCC,npBAF complex,0.03523868126676098,1.4529803525098497
GOCC,nBAF complex,0.03523868126676098,1.4529803525098497
GOCC,extrinsic to plasma membrane,0.04292025412203885,1.3673377153297472
GOCC,nuclear speck,0.04541160052024596,1.342833191231348
GOCC,actin filament,0.050548257035365404,1.2962938148103342
GOCC,SWI/SNF complex,0.06189051850183707,1.2083758788915544
KEGG,mRNA surveillance pathway,0.09520914418736556,1.0213213385966016
