,αCD3 5min,αCD3+αCD226 5min,αCD3+αICOS 5min,αCD3+αCD2 5min,αCD3 10min,αCD3+αCD226 10min,αCD3+αICOS 10min,αCD3+αCD2 10min
αCD3 5min,1.0,0.4186822351959967,0.4052502050861362,0.40785714285714286,0.3210332103321033,0.3425047438330171,0.3421955403087479,0.39127105666156203
αCD3+αCD226 5min,0.4186822351959967,1.0,0.42857142857142855,0.44752877454299256,0.32367549668874174,0.30851943755169564,0.367008681925809,0.42426417803302224
αCD3+αICOS 5min,0.4052502050861362,0.42857142857142855,1.0,0.4429530201342282,0.3281121187139324,0.3239202657807309,0.37214791502753736,0.4474256707759246
αCD3+αCD2 5min,0.40785714285714286,0.44752877454299256,0.4429530201342282,1.0,0.3024390243902439,0.2960111966410077,0.33734134936539745,0.44302176696542894
αCD3 10min,0.3210332103321033,0.32367549668874174,0.3281121187139324,0.3024390243902439,1.0,0.3606217616580311,0.35337650323774283,0.34615384615384615
αCD3+αCD226 10min,0.3425047438330171,0.30851943755169564,0.3239202657807309,0.2960111966410077,0.3606217616580311,1.0,0.36286522148916117,0.34548335974643424
αCD3+αICOS 10min,0.3421955403087479,0.367008681925809,0.37214791502753736,0.33734134936539745,0.35337650323774283,0.36286522148916117,1.0,0.4063926940639269
αCD3+αCD2 10min,0.39127105666156203,0.42426417803302224,0.4474256707759246,0.44302176696542894,0.34615384615384615,0.34548335974643424,0.4063926940639269,1.0
