term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
regulation of protein tyrosine kinase activity,5,171,3,1844,18.483935742971887,0.00018862033041702408
eye morphogenesis,5,171,4,1844,13.855421686746988,0.0003953390383761455
positive regulation of protein tyrosine kinase activity,4,171,2,1844,22.059880239520957,0.0006565904171481311
regulation of defense response to virus by virus,5,171,5,1844,11.078313253012048,0.0007366413119357719
embryonic organ morphogenesis,5,171,5,1844,11.078313253012048,0.0007366413119357719
forebrain development,7,171,15,1844,5.204471544715447,0.0015974118169398018
regulation of defense response to virus,7,171,15,1844,5.204471544715447,0.0015974118169398018
protein autophosphorylation,10,171,31,1844,3.632538569424965,0.001637751619773669
regulation of small GTPase mediated signal transduction,17,171,77,1844,2.533226513745994,0.0019337598575936473
regulation of response to biotic stimulus,7,171,16,1844,4.876524390243903,0.0021344489063563803
