term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Renal cell carcinoma,7,171,26,1844,2.984521575984991,0.017998119309255087
Dorso-ventral axis formation,3,171,6,1844,5.470238095238095,0.034413210114092235
MAPK signaling pathway - fly,3,171,8,1844,4.098214285714286,0.05961625013403982
Base excision repair,2,171,4,1844,5.443786982248521,0.08555472625528014
SNARE interactions in vesicular transport,2,171,4,1844,5.443786982248521,0.08555472625528014
Focal adhesion,7,171,39,1844,1.9754534083802378,0.10527505816179308
VEGF signaling pathway,0,171,32,1844,0.0,0.10558931817036485
Leukocyte transendothelial migration,0,171,34,1844,0.0,0.11018726511155219
RNA degradation,2,171,6,1844,3.6252465483234713,0.14287390312013645
T cell receptor signaling pathway,8,171,52,1844,1.6913638508730533,0.1609027889310776
