term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
RNA splicing. via transesterification reactions,13,687,85,1328,0.28205620527142605,2.9763852763986657e-06
nuclear mRNA splicing. via spliceosome,13,687,84,1328,0.28564363430832274,3.0027422769851227e-06
RNA splicing. via transesterification reactions with bulged adenosine as nucleophile,13,687,84,1328,0.28564363430832274,3.0027422769851227e-06
RNA splicing,23,687,105,1328,0.40345668387837064,4.402780317716229e-05
mRNA metabolic process,38,687,142,1328,0.4890297098461338,9.762627738610529e-05
intracellular signal transduction,171,687,235,1328,1.5413409203364672,0.0001731375413098656
regulation of alpha-beta T cell activation,14,687,4,1328,6.885586924219911,0.0001788617694530778
RNA processing,43,687,149,1328,0.5283359039559798,0.00029553528980680543
mRNA processing,31,687,116,1328,0.4937447434819176,0.00040701191691494727
RNA metabolic process,172,687,428,1328,0.702295617457581,0.0008310264270907453
