term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Leukocyte transendothelial migration,0,346,34,1669,0.0,0.002318419853204657
Axon guidance,13,346,24,1669,2.675800800800801,0.007009665012429925
Progesterone-mediated oocyte maturation,1,346,33,1669,0.14369784804567412,0.020807932052677468
Oocyte meiosis,0,346,22,1669,0.0,0.02265158493915259
Fc epsilon RI signaling pathway,1,346,32,1669,0.14827898550724639,0.03250784537434695
Endocytosis,2,346,40,1669,0.23677325581395348,0.0356528545829804
Calcium signaling pathway,0,346,20,1669,0.0,0.035659563727996155
Osteoclast differentiation,1,346,28,1669,0.16987577639751553,0.04694035881328776
Vascular smooth muscle contraction,1,346,28,1669,0.16987577639751553,0.04694035881328776
Insulin signaling pathway,4,346,49,1669,0.3866809881847476,0.0643381423007173
