term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Oocyte meiosis,18,671,4,1344,9.234303215926493,3.61698985300329e-06
Progesterone-mediated oocyte maturation,23,671,11,1344,4.301206509539843,5.4900729150449884e-05
Long-term potentiation,24,671,13,1344,3.7978837236951613,0.00012432236478126737
mTOR signaling pathway,21,671,11,1344,3.915104895104895,0.00020042351920045528
Osteoclast differentiation,19,671,10,1344,3.8874233128834357,0.0004654543656780407
Type II diabetes mellitus,6,671,0,1344,inf,0.0013433388354025155
MAPK signaling pathway,34,671,31,1344,2.260697827518104,0.0018355165080669905
Neurotrophin signaling pathway,26,671,22,1344,2.4222692036645523,0.0029011913758246587
Phosphatidylinositol signaling system,14,671,8,1344,3.558599695585997,0.004842011365811883
Inositol phosphate metabolism,8,671,3,1344,5.393665158371041,0.008602725334050302
