term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Fc gamma R-mediated phagocytosis,0,259,43,1756,0.0,0.004487710822795931
Mismatch repair,4,259,4,1756,6.870588235294117,0.012242118951989399
DNA replication,5,259,9,1756,3.821084864391951,0.025277434327963304
ko05152,0,259,27,1756,0.0,0.04022746112378757
Nucleotide excision repair,4,259,7,1756,3.919327731092437,0.04219421772018914
Long-term potentiation,1,259,36,1756,0.18518518518518517,0.07819835832773576
Calcium signaling pathway,0,259,20,1756,0.0,0.09738535670545434
VEGF signaling pathway,1,259,31,1756,0.21567891972993247,0.11272707527919602
Fc epsilon RI signaling pathway,1,259,32,1756,0.20881782945736435,0.11325478601005237
Leukocyte transendothelial migration,1,259,33,1756,0.20237256283767913,0.11539644791714258
