term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Long-term potentiation,24,551,13,1464,5.08305356882207,1.6676237293660943e-06
Fructose and mannose metabolism,6,551,1,1464,16.106422018348624,0.002201886884737294
Oocyte meiosis,13,551,9,1464,3.9064436183395292,0.002494853238897113
Melanogenesis,11,551,7,1464,4.23994708994709,0.0026316529240480967
Leukocyte transendothelial migration,17,551,17,1464,2.709737827715356,0.005511067605590437
Aldosterone-regulated sodium reabsorption,7,551,3,1464,6.266544117647059,0.0059507791803243395
MAPK signaling pathway,28,551,37,1464,2.0648028525657587,0.006604508130330996
Long-term depression,11,551,9,1464,3.29320987654321,0.009582047695725154
Inositol phosphate metabolism,7,551,4,1464,4.696691176470588,0.012540928112212519
DNA replication,0,551,14,1464,0.0,0.015318067654671048
