term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Non-small cell lung cancer,19,578,13,1437,3.7231319664235585,0.0002715367997212662
Long-term potentiation,21,578,16,1437,3.348406642728905,0.00034025030632602965
Chronic myeloid leukemia,20,578,15,1437,3.3978494623655915,0.00045535257821320736
Melanoma,16,578,11,1437,3.6907149789712066,0.0009185808682129325
VEGF signaling pathway,18,578,14,1437,3.2670918367346937,0.0011698309445480866
Endometrial cancer,14,578,9,1437,3.938534278959811,0.0016132901201564166
Vascular smooth muscle contraction,16,578,13,1437,3.1185327128387628,0.002977789024438593
MAPK signaling pathway,30,578,35,1437,2.1929092805005213,0.003034054544516754
Pathways in cancer,30,578,35,1437,2.1929092805005213,0.003034054544516754
Prion diseases,7,578,2,1437,8.795971978984237,0.0031677507734745973
