term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Acute myeloid leukemia,17,757,8,1258,3.589527027027027,0.0027678976807908725
Amyotrophic lateral sclerosis (ALS),6,757,0,1258,inf,0.0027767347367921497
Vascular smooth muscle contraction,19,757,10,1258,3.2130081300813007,0.0030167407133825917
Thyroid cancer,11,757,3,1258,6.168453976764969,0.0034321756040358517
Leukocyte transendothelial migration,21,757,13,1258,2.7325459866220734,0.0041358629123750285
Progesterone-mediated oocyte maturation,21,757,13,1258,2.7325459866220734,0.0041358629123750285
Insulin signaling pathway,30,757,23,1258,2.2157765683870583,0.0057789898451634045
VEGF signaling pathway,19,757,13,1258,2.465603502188868,0.015419092993573809
Pathways in cancer,34,757,31,1258,1.8613304778476776,0.01838993389696849
Osteoclast differentiation,17,757,12,1258,2.38536036036036,0.021047712174440257
