term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Renal cell carcinoma,7,169,26,1846,3.0246913580246915,0.016945555985493146
Axon guidance,7,169,30,1846,2.6156378600823045,0.030737233633172864
Ribosome,2,169,4,1846,5.514970059880239,0.08378866249159947
Basal transcription factors,2,169,4,1846,5.514970059880239,0.08378866249159947
Focal adhesion,7,169,39,1846,2.0020576131687244,0.10181891098556382
VEGF signaling pathway,0,169,32,1846,0.0,0.10531945278147051
Fc epsilon RI signaling pathway,0,169,33,1846,0.0,0.10674064991437027
ko05152,0,169,27,1846,0.0,0.1620150097518856
Cell cycle - yeast,3,169,14,1846,2.3648881239242683,0.1655922878034084
Pathways in cancer,2,169,63,1846,0.3389411652884707,0.16749610820512834
