term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
lipid homeostasis,9,216,6,1799,12.992753623188406,4.485919272329007e-06
chromatin silencing at rDNA,5,216,0,1799,inf,1.3576977873172224e-05
transcription termination. DNA-dependent,10,216,15,1799,5.773462783171521,0.00012516218136556607
negative regulation of Ras protein signal transduction,10,216,16,1799,5.409587378640777,0.00018453747457671007
negative regulation of small GTPase mediated signal transduction,10,216,16,1799,5.409587378640777,0.00018453747457671007
regulation of lipid transport,6,216,4,1799,12.821428571428571,0.0002058101306767081
cholesterol homeostasis,6,216,4,1799,12.821428571428571,0.0002058101306767081
sterol homeostasis,6,216,4,1799,12.821428571428571,0.0002058101306767081
regulation of smooth muscle cell differentiation,5,216,2,1799,21.291469194312796,0.0002374676670157793
chromatin silencing,6,216,5,1799,10.251428571428571,0.00041248774441862495
