term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
cell-substrate junction assembly,2,21,7,1994,29.8796992481203,0.0035649374285001752
lamellipodium assembly,2,21,10,1994,20.88421052631579,0.006413533265151535
RNA metabolic process,1,21,599,1994,0.1164440734557596,0.007878888191662098
nitrogen compound metabolic process,2,21,735,1994,0.18030791263873971,0.01037485351610409
cellular nitrogen compound metabolic process,2,21,731,1994,0.1818705450356397,0.010401500608916966
nucleobase-containing compound metabolic process,2,21,717,1994,0.18747706085296925,0.010703429199619047
RNA biosynthetic process,0,21,435,1994,0.0,0.01282291299662694
regulation of small GTPase mediated signal transduction,4,21,90,1994,4.977777777777778,0.014427043268057563
nucleic acid metabolic process,2,21,690,1994,0.19893211289092297,0.018524221394656253
translational initiation,2,21,19,1994,10.941828254847646,0.019286373372950614
regulation of MAP kinase activity,3,21,54,1994,5.987654320987654,0.01988523068299081
positive regulation of translation,2,21,20,1994,10.389473684210527,0.02108263050601661
