term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
receptor signaling protein activity,2,9,33,2006,17.082251082251084,0.009777099762296976
small GTPase regulator activity,2,9,56,2006,9.948979591836734,0.025745845761665467
peroxisome proliferator activated receptor binding,1,9,7,2006,35.69642857142857,0.03523868126676098
molecular transducer activity,2,9,94,2006,5.811550151975684,0.06499843311317116
signal transducer activity,2,9,94,2006,5.811550151975684,0.06499843311317116
catalytic activity,0,9,556,2006,0.0,0.07072102417667481
microtubule binding,1,9,23,2006,10.777173913043478,0.10242222525014687
cytoskeletal protein binding,2,9,126,2006,4.263038548752834,0.10751084369609606
Rho guanyl-nucleotide exchange factor activity,1,9,31,2006,7.963709677419355,0.13442758491823106
calcium ion binding,1,9,36,2006,6.840277777777778,0.15391191778961422
GTPase regulator activity,2,9,164,2006,3.2090592334494774,0.16574245512564972
nucleoside-triphosphatase regulator activity,2,9,168,2006,3.1258503401360542,0.17223168468568215
