term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Acute myeloid leukemia,0,7,25,2008,0.0,1.0
Adherens junction,0,7,19,2008,0.0,1.0
Adipocytokine signaling pathway,0,7,10,2008,0.0,1.0
Aldosterone-regulated sodium reabsorption,0,7,10,2008,0.0,1.0
Alzheimer's disease,0,7,12,2008,0.0,1.0
Apoptosis,0,7,10,2008,0.0,1.0
Arrhythmogenic right ventricular cardiomyopathy (ARVC),0,7,12,2008,0.0,1.0
Axon guidance,0,7,37,2008,0.0,1.0
B cell receptor signaling pathway,0,7,35,2008,0.0,1.0
Bacterial invasion of epithelial cells,0,7,20,2008,0.0,1.0
Bladder cancer,0,7,22,2008,0.0,1.0
Calcium signaling pathway,0,7,20,2008,0.0,1.0
