term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
RNA processing,4,6,188,2009,19.372340425531913,0.0010290129747363534
RNA splicing. via transesterification reactions with bulged adenosine as nucleophile,3,6,94,2009,20.372340425531913,0.001946448137072359
nuclear mRNA splicing. via spliceosome,3,6,94,2009,20.372340425531913,0.001946448137072359
RNA splicing. via transesterification reactions,3,6,95,2009,20.147368421052633,0.002005599699101335
RNA splicing,3,6,125,2009,15.072,0.004347614416525222
mRNA processing,3,6,144,2009,12.95138888888889,0.006460389420194094
mRNA metabolic process,3,6,177,2009,10.350282485875706,0.01145162242058162
biological regulation,1,6,1395,2009,0.08802867383512544,0.012099443943826031
regulation of biological process,1,6,1356,2009,0.0963126843657817,0.016081834879392246
regulation of cellular process,1,6,1319,2009,0.10462471569370735,0.020713353019490954
adult behavior,1,6,7,2009,57.2,0.023615173212822835
adult locomotory behavior,1,6,7,2009,57.2,0.023615173212822835
