term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Adipocytokine signaling pathway,1,21,9,1994,11.027777777777779,0.09967654094727485
Ribosome biogenesis in eukaryotes,1,21,9,1994,11.027777777777779,0.09967654094727485
RNA transport,2,21,59,1994,3.4522747546833186,0.13115678773000267
Regulation of actin cytoskeleton,2,21,60,1994,3.3929824561403508,0.13470014547100978
MAPK signaling pathway,2,21,63,1994,3.2263993316624897,0.14546532806262324
Bacterial invasion of epithelial cells,1,21,19,1994,5.197368421052632,0.18984526496026347
VEGF signaling pathway,1,21,31,1994,3.1661290322580644,0.28671102055863346
Chemokine signaling pathway,1,21,31,1994,3.1661290322580644,0.28671102055863346
Leukocyte transendothelial migration,1,21,33,1994,2.971212121212121,0.3017422793036909
Focal adhesion,1,21,45,1994,2.1655555555555557,0.3857866331870129
T cell receptor signaling pathway,1,21,59,1994,1.6398305084745763,0.4716676578575909
Bladder cancer,0,21,22,1994,0.0,1.0
