term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
nBAF complex,1,8,8,2007,35.69642857142857,0.03523868126676098
npBAF complex,1,8,8,2007,35.69642857142857,0.03523868126676098
extrinsic to plasma membrane,1,8,10,2007,28.52857142857143,0.04292025412203885
nuclear speck,2,8,87,2007,7.35632183908046,0.04541160052024596
actin filament,1,8,12,2007,23.75,0.050548257035365404
SWI/SNF complex,1,8,15,2007,18.97142857142857,0.06189051850183707
cell leading edge,1,8,17,2007,16.722689075630253,0.06938599541285746
SWI/SNF-type complex,1,8,18,2007,15.785714285714286,0.07311404350334177
nuclear body,2,8,122,2007,5.1502732240437155,0.08242184742883413
growth cone,1,8,21,2007,13.510204081632653,0.08421989905950811
site of polarized growth,1,8,23,2007,12.322981366459627,0.0915589541487871
axon,1,8,25,2007,11.325714285714286,0.09884649436148671
