term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
GTPase activator activity,3,8,104,2007,10.978846153846154,0.006705610338415686
enzyme activator activity,3,8,141,2007,7.940425531914894,0.015330810673479706
GTPase regulator activity,3,8,163,2007,6.787730061349693,0.022565685334044065
nucleoside-triphosphatase regulator activity,3,8,167,2007,6.610778443113772,0.024058604790056025
nucleic acid binding,5,8,514,2007,4.841115434500648,0.030676221861788328
ribonucleoprotein binding,1,8,8,2007,35.69642857142857,0.03523868126676098
nucleobase-containing compound kinase activity,1,8,8,2007,35.69642857142857,0.03523868126676098
nuclease activity,1,8,9,2007,31.714285714285715,0.03908618403339404
damaged DNA binding,1,8,9,2007,31.714285714285715,0.03908618403339404
phosphatidylinositol-3.4.5-trisphosphate binding,1,8,11,2007,25.92207792207792,0.04674093175029418
transcription coactivator activity,2,8,92,2007,6.938405797101449,0.050181397920828645
calmodulin binding,1,8,12,2007,23.75,0.050548257035365404
