term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
protein tyrosine kinase activity,2,7,16,2008,49.8,0.0015419704742574655
protein C-terminus binding,2,7,51,2008,15.349019607843138,0.013101093559265557
transporter activity,2,7,70,2008,11.074285714285715,0.02354030904172948
anion transmembrane transporter activity,1,7,7,2008,47.642857142857146,0.02750321632596242
mitogen-activated protein kinase binding,1,7,7,2008,47.642857142857146,0.02750321632596242
non-membrane spanning protein tyrosine kinase activity,1,7,8,2008,41.666666666666664,0.030895083533594842
monosaccharide binding,1,7,9,2008,37.01851851851852,0.034276805575102716
SNARE binding,1,7,9,2008,37.01851851851852,0.034276805575102716
sugar binding,1,7,9,2008,37.01851851851852,0.034276805575102716
SH3 domain binding,1,7,11,2008,30.257575757575758,0.04100991530791119
protein domain specific binding,2,7,95,2008,8.054736842105264,0.0411184056087916
phosphoprotein binding,1,7,12,2008,27.72222222222222,0.04436135344712467
