term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Pathways in cancer,2,7,63,2008,12.34920634920635,0.019382337387668893
Viral myocarditis,1,7,8,2008,41.666666666666664,0.030895083533594842
Pathogenic Escherichia coli infection,1,7,9,2008,37.01851851851852,0.034276805575102716
Shigellosis,1,7,13,2008,25.576923076923077,0.0477027473161907
Pancreatic cancer,1,7,30,2008,10.988888888888889,0.10299379615537821
Chronic myeloid leukemia,1,7,34,2008,9.676470588235293,0.11559579898362113
Axon guidance,1,7,36,2008,9.12962962962963,0.12183968244096288
Cell cycle,1,7,40,2008,8.2,0.13421417291784096
ErbB signaling pathway,1,7,42,2008,7.801587301587301,0.1403451614019216
Neurotrophin signaling pathway,1,7,47,2008,6.953900709219858,0.1555100701912535
Arrhythmogenic right ventricular cardiomyopathy (ARVC),0,7,12,2008,0.0,1.0
B cell receptor signaling pathway,0,7,35,2008,0.0,1.0
