term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
DNA binding,0,21,392,1994,0.0,0.022003815150613785
Ras guanyl-nucleotide exchange factor activity,2,21,43,1994,4.776009791921664,0.07830420256555307
calmodulin-dependent protein kinase activity,1,21,7,1994,14.192857142857143,0.08053095605471257
RNA cap binding,1,21,7,1994,14.192857142857143,0.08053095605471257
GTPase regulator activity,4,21,162,1994,2.6608569353667395,0.08811617923418782
nucleoside-triphosphatase regulator activity,4,21,166,1994,2.591070163004961,0.09438082582847697
nuclease activity,1,21,9,1994,11.027777777777779,0.09967654094727485
Rab guanyl-nucleotide exchange factor activity,1,21,9,1994,11.027777777777779,0.09967654094727485
cytokine receptor binding,1,21,10,1994,9.92,0.10910636271291443
beta-catenin binding,1,21,10,1994,9.92,0.10910636271291443
small GTPase regulator activity,2,21,56,1994,3.642857142857143,0.1206732324307334
nucleic acid binding,2,21,517,1994,0.3007227934439581,0.12893529133464768
