term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
mast cell granule,2,8,6,2007,111.16666666666667,0.0003817920800729284
stored secretory granule,2,8,14,2007,47.45238095238095,0.0016103911766539097
lytic vacuole,2,8,16,2007,41.479166666666664,0.0020450825181094878
lysosome,2,8,16,2007,41.479166666666664,0.0020450825181094878
synapse,2,8,18,2007,36.833333333333336,0.00252954180620148
vacuole,2,8,24,2007,27.541666666666668,0.004275389834336996
heterochromatin,2,8,29,2007,22.735632183908045,0.006056372731930495
cell-substrate adherens junction,3,8,103,2007,11.09126213592233,0.006530117140225988
focal adhesion,3,8,103,2007,11.09126213592233,0.006530117140225988
cell-substrate junction,3,8,104,2007,10.978846153846154,0.006705610338415686
adherens junction,3,8,115,2007,9.871304347826086,0.00882889723009547
anchoring junction,3,8,117,2007,9.692307692307692,0.009253777570042105
