term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
vitamin D receptor binding,2,6,8,2009,125.0625,0.0003291473098513439
thyroid hormone receptor binding,2,6,19,2009,52.36842105263158,0.001513726361021133
RNA polymerase II transcription cofactor activity,2,6,20,2009,49.725,0.0016628845572155219
ligand-dependent nuclear receptor transcription coactivator activity,2,6,21,2009,47.333333333333336,0.001818831905053766
RNA polymerase II transcription factor binding transcription factor activity,2,6,23,2009,43.17391304347826,0.0021509820512099933
receptor binding,3,6,115,2009,16.469565217391306,0.0034391045525657723
receptor activity,2,6,46,2009,21.33695652173913,0.007843154245299588
nuclear hormone receptor binding,2,6,53,2009,18.452830188679247,0.01022910394966373
hormone receptor binding,2,6,53,2009,18.452830188679247,0.01022910394966373
14-3-3 protein binding,1,6,7,2009,57.2,0.023615173212822835
transcription coactivator activity,2,6,92,2009,10.418478260869565,0.028569871394557335
protein binding,5,6,766,2009,8.113577023498694,0.033312978631253466
