term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
occluding junction,2,6,14,2009,71.25,0.0008707577358057539
tight junction,2,6,14,2009,71.25,0.0008707577358057539
cell-cell junction,3,6,73,2009,26.52054794520548,0.0009507515374370908
microtubule cytoskeleton,2,6,34,2009,29.044117647058822,0.004451299403924711
cytoskeleton,3,6,197,2009,9.197969543147208,0.015365168615260043
cell junction,3,6,206,2009,8.75242718446602,0.017357889701205755
spectrin-associated cytoskeleton,1,6,7,2009,57.2,0.023615173212822835
cytoplasmic vesicle,2,6,85,2009,11.31764705882353,0.0246841186130197
intracellular organelle part,1,6,1272,2009,0.11588050314465409,0.027972098760905104
ribosome,1,6,10,2009,39.98,0.032350175760788726
extracellular organelle,3,6,282,2009,6.124113475177305,0.04029456519430691
extracellular membrane-bounded organelle,3,6,282,2009,6.124113475177305,0.04029456519430691
