term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
negative regulation of cellular component organization,2,6,69,2009,14.057971014492754,0.016753744477056853
wound healing,1,6,7,2009,57.2,0.023615173212822835
actin filament bundle assembly,1,6,7,2009,57.2,0.023615173212822835
negative regulation of peptidyl-tyrosine phosphorylation,1,6,7,2009,57.2,0.023615173212822835
positive regulation of cyclase activity,1,6,7,2009,57.2,0.023615173212822835
intermediate filament-based process,1,6,8,2009,50.025,0.02653411140949601
intermediate filament cytoskeleton organization,1,6,8,2009,50.025,0.02653411140949601
regulation of cyclase activity,1,6,8,2009,50.025,0.02653411140949601
regulation of Rho protein signal transduction,1,6,10,2009,39.98,0.032350175760788726
positive regulation of cellular protein metabolic process,2,6,103,2009,9.25242718446602,0.03516105961677666
negative regulation of actin filament depolymerization,1,6,11,2009,36.32727272727273,0.035247330923181566
negative regulation of protein phosphorylation,1,6,12,2009,33.28333333333333,0.0381372540457282
