term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
cleavage furrow,2,6,15,2009,66.46666666666667,0.0009855476753417452
cell division site part,2,6,16,2009,62.28125,0.0011072678133044276
actin filament bundle,1,6,12,2009,33.28333333333333,0.0381372540457282
stress fiber,1,6,12,2009,33.28333333333333,0.0381372540457282
actomyosin,1,6,13,2009,30.70769230769231,0.04101995957805868
mitochondrial outer membrane,1,6,15,2009,26.586666666666666,0.04676377556229506
intracellular organelle lumen,1,6,16,2009,24.9125,0.049624914805229646
clathrin-coated vesicle,1,6,17,2009,23.435294117647057,0.05247889404004876
axon part,1,6,17,2009,23.435294117647057,0.05247889404004876
organelle lumen,1,6,17,2009,23.435294117647057,0.05247889404004876
coated vesicle,1,6,17,2009,23.435294117647057,0.05247889404004876
membrane-enclosed lumen,1,6,22,2009,18.063636363636363,0.06664189129192555
