term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
membrane-bounded organelle,0,6,1243,2009,0.0,0.0031248626370993524
intracellular membrane-bounded organelle,0,6,1124,2009,0.0,0.007405005461453271
internal side of plasma membrane,1,6,9,2009,44.44444444444444,0.029445774087234304
cilium,1,6,9,2009,44.44444444444444,0.029445774087234304
centriolar satellite,1,6,9,2009,44.44444444444444,0.029445774087234304
centriole,1,6,12,2009,33.28333333333333,0.0381372540457282
nucleus,0,6,864,2009,0.0,0.040697047300689106
intercellular bridge,1,6,14,2009,28.5,0.043895461948139466
receptor complex,1,6,15,2009,26.586666666666666,0.04676377556229506
intrinsic to internal side of plasma membrane,1,6,16,2009,24.9125,0.049624914805229646
microtubule organizing center part,1,6,18,2009,22.122222222222224,0.055325727608281
ubiquitin ligase complex,1,6,20,2009,19.89,0.06099801500334329
