term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
postsynaptic membrane,1,9,7,2006,35.69642857142857,0.03523868126676098
cell projection part,2,9,69,2006,8.020703933747413,0.03754911923485649
synaptic membrane,1,9,11,2006,22.670454545454547,0.05244053753953008
actin filament bundle,1,9,12,2006,20.770833333333332,0.05669816867390067
ruffle membrane,1,9,12,2006,20.770833333333332,0.05669816867390067
peroxisome,1,9,12,2006,20.770833333333332,0.05669816867390067
stress fiber,1,9,12,2006,20.770833333333332,0.05669816867390067
actomyosin,1,9,13,2006,19.16346153846154,0.06093878629724477
postsynaptic density,1,9,14,2006,17.785714285714285,0.06516244992709223
microtubule organizing center,2,9,99,2006,5.503607503607504,0.0711473531164904
microbody,1,9,16,2006,15.546875,0.07355915238410025
leading edge membrane,1,9,20,2006,12.4125,0.0901517083829891
