term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Gap junction,1,6,17,2009,23.435294117647057,0.05247889404004876
Melanogenesis,1,6,17,2009,23.435294117647057,0.05247889404004876
Colorectal cancer,1,6,18,2009,22.122222222222224,0.055325727608281
Long-term depression,1,6,19,2009,20.94736842105263,0.05816542982989937
Bladder cancer,1,6,21,2009,18.933333333333334,0.0638234974055398
GnRH signaling pathway,1,6,21,2009,18.933333333333334,0.0638234974055398
Endometrial cancer,1,6,22,2009,18.063636363636363,0.06664189129192555
Acute myeloid leukemia,1,6,24,2009,16.541666666666668,0.07225747043168704
Melanoma,1,6,26,2009,15.253846153846155,0.07784486603712738
ko05152,1,6,26,2009,15.253846153846155,0.07784486603712738
Vascular smooth muscle contraction,1,6,28,2009,14.15,0.0834041913802763
Hepatitis C,1,6,28,2009,14.15,0.0834041913802763
