term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
ubiquitin-protein ligase activity,2,6,51,2009,19.19607843137255,0.009517523310102366
small conjugating protein ligase activity,2,6,51,2009,19.19607843137255,0.009517523310102366
acid-amino acid ligase activity,2,6,52,2009,18.817307692307693,0.009870351695118093
ligase activity. forming carbon-nitrogen bonds,2,6,55,2009,17.763636363636362,0.01096427606848906
ligase activity,2,6,76,2009,12.717105263157896,0.02005632854782795
ligand-gated ion channel activity,1,6,10,2009,39.98,0.032350175760788726
ligand-gated channel activity,1,6,10,2009,39.98,0.032350175760788726
calcium channel activity,1,6,12,2009,33.28333333333333,0.0381372540457282
gated channel activity,1,6,13,2009,30.70769230769231,0.04101995957805868
ubiquitin binding,1,6,14,2009,28.5,0.043895461948139466
cation channel activity,1,6,14,2009,28.5,0.043895461948139466
small conjugating protein binding,1,6,15,2009,26.586666666666666,0.04676377556229506
