term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
cellular process,1,6,1685,2009,0.03845697329376854,0.0005874955184386174
biological regulation,0,6,1396,2009,0.0,0.0008263691414359491
regulation of biological process,0,6,1357,2009,0.0,0.0011940236698400391
regulation of cellular process,0,6,1320,2009,0.0,0.0016599551200288918
metabolic process,0,6,1105,2009,0.0,0.008407382221444435
cellular metabolic process,0,6,1056,2009,0.0,0.011526336563086215
primary metabolic process,0,6,1039,2009,0.0,0.012811421780352203
macromolecule metabolic process,0,6,964,2009,0.0,0.03189089644201389
cellular macromolecule metabolic process,0,6,953,2009,0.0,0.032389866696822846
regulation of metabolic process,0,6,927,2009,0.0,0.03402187877572182
response to stimulus,0,6,914,2009,0.0,0.03507958171307268
regulation of cellular metabolic process,0,6,872,2009,0.0,0.039629151158377236
