term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
SNARE binding,2,8,8,2007,83.29166666666667,0.0006111563670634873
ribonucleoprotein binding,1,8,8,2007,35.69642857142857,0.03523868126676098
single-stranded RNA binding,1,8,12,2007,23.75,0.050548257035365404
histone acetyl-lysine binding,1,8,12,2007,23.75,0.050548257035365404
ligand-dependent nuclear receptor binding,1,8,13,2007,21.912087912087912,0.05434226999426506
actin filament binding,1,8,23,2007,12.322981366459627,0.0915589541487871
catalytic activity,0,8,556,2007,0.0,0.11605664188057324
RNA binding,2,8,150,2007,4.126666666666667,0.11722094141658691
histone binding,1,8,42,2007,6.683673469387755,0.15875410465875292
zinc ion binding,2,8,214,2007,2.792834890965732,0.20836121488581852
transition metal ion binding,2,8,221,2007,2.693815987933635,0.21898569044157273
actin binding,1,8,66,2007,4.201298701298701,0.23738889236114552
