kinase_gene,substrate_gene
CSNK2A1,SIRT1
CSNK2A1,PHF8
CSNK2A1,SAT1
CSNK2A1,TOP2A
CSNK2A1,IGFBP1
CSNK2A1,ATXN3
CSNK2A1,IGFBP3
CSNK2A1,SMC3
CSNK2A1,SSB
CSNK2A1,MYB
CSNK2A1,BIK
CSNK2A1,CSNK2B
CSNK2A1,CTDP1
CSNK2A1,CREB1
CSNK2A1,MYH9
CSNK2A1,TELO2
CSNK2A1,RRN3
CSNK2A1,FUNDC1
CSNK2A1,PAWR
CSNK2A1,MDM2
CSNK2A1,STARD10
CSNK2A1,TERF1
CSNK2A1,H2AC17
CSNK2A1,NPHP1
CSNK2A1,HSP90AB1
CSNK2A1,MYL12B
CSNK2A1,HTT
CSNK2A1,AKT1
CSNK2A1,ACE
CSNK2A1,MCM2
CSNK2A1,CDC34
CSNK2A1,BCAM
CSNK2A1,ABCF1
CSNK2A1,CD6
CSNK2A1,HSP90AA1
CSNK2A1,EIF3J
CSNK2A1,CARD9
CSNK2A1,BRCA1
CSNK2A1,CCNH
CSNK2A1,SRF
CSNK2A1,DLG3
CSNK2A1,DNMT3A
CSNK2A1,TUBB3
CSNK2A1,RELA
CSNK2A1,ECD
CSNK2A1,DHFR
CSNK2A1,ANP32A
CSNK2A1,NOTCH1
CSNK2A1,AATF
CSNK2A1,GADD45GIP1
CSNK2A1,TP53
CSNK2A1,IGF2R
CSNK2A1,FGF14
CSNK2A1,ERCC3
CSNK2A1,IFI16
CSNK2A1,PDIA6
CSNK2A1,C1R
CSNK2A1,AKT2
CSNK2A1,LEF1
CSNK2A1,NPM1
CSNK2A1,CLIP1
CSNK2A1,EIF2S2
CSNK2A1,SLC29A1
CSNK2A1,UBE2R2
CSNK2A1,EEF1D
CSNK2A1,AMPH
CSNK2A1,ABCC1
CSNK2A1,ABCA1
CSNK2A1,FURIN
CSNK2A1,CETN2
CSNK2A1,CALU
CSNK2A1,MAPK1
CSNK2A1,MYC
CSNK2A1,PPP1R2P3
CSNK2A1,NR4A1
CSNK2A1,RNF7
CSNK2A1,UIMC1
CSNK2A1,XPC
CSNK2A1,CEBPD
CSNK2A1,FNIP1
CSNK2A1,TFPI
CSNK2A1,TWIST1
CSNK2A1,STX1A
CSNK2A1,RAD9A
CSNK2A1,HES6
CSNK2A1,CDKN1B
CSNK2A1,CORO1C
CSNK2A1,SEC63
CSNK2A1,ANP32B
CSNK2A1,VHL
CSNK2A1,PIP4K2A
CSNK2A1,MYBL1
CSNK2A1,EXOSC9
CSNK2A1,DPF3
CSNK2A1,MAZ
CSNK2A1,MEF2A
CSNK2A1,NCAPG
CSNK2A1,RAD51
CSNK2A1,CHD4
CSNK2A1,NASP
CSNK2A1,PAX3
CSNK2A1,CAST
CSNK2A1,NFKBIB
CSNK2A1,HCLS1
CSNK2A1,TNFAIP1
CSNK2A1,GGA1
CSNK2A1,XRCC4
CSNK2A1,HDAC3
CSNK2A1,CDC37
CSNK2A1,SEPTIN2
CSNK2A1,PGK1
CSNK2A1,RAD17
CSNK2A1,CDC25B
CSNK2A1,COL17A1
CSNK2A1,KDM1A
CSNK2A1,MAX
CSNK2A1,NCOA2
CSNK2A1,PML
CSNK2A1,EIF4G2
CSNK2A1,HDAC2
CSNK2A1,SLBP
CSNK2A1,NCOR1
CSNK2A1,CASP2
CSNK2A1,SNAI1
CSNK2A1,MYF5
CSNK2A1,MUS81
CSNK2A1,SERINC3
CSNK2A1,H2AX
CSNK2A1,SERPINF1
CSNK2A1,BRMS1
CSNK2A1,MYCN
CSNK2A1,MECOM
CSNK2A1,SIRT6
CSNK2A1,RIOK1
CSNK2A1,PIN4
CSNK2A1,EHMT2
CSNK2A1,EIF4EBP1
CSNK2A1,RANGAP1
CSNK2A1,CCNF
CSNK2A1,ARNT
CSNK2A1,TYMS
CSNK2A1,FTO
CSNK2A1,PSMD3
CSNK2A1,PRPF3
CSNK2A1,STC2
CSNK2A1,RAD1
CSNK2A1,CREB3
CSNK2A1,DDHD1
CSNK2A1,FGA
CSNK2A1,KIR3DL1
CSNK2A1,BIRC5
CSNK2A1,GPI
CSNK2A1,GCH1
CSNK2A1,HDAC6
CSNK2A1,TSPY1
CSNK2A1,PKD2
CSNK2A1,CDC25C
CSNK2A1,PER2
CSNK2A1,HDAC1
CSNK2A1,G3BP1
CSNK2A1,PTGES3
CSNK2A1,HNRNPA1
CSNK2A1,CAPZA1
CSNK2A1,HNRNPC
CSNK2A1,USP7
CSNK2A1,TTI1
CSNK2A1,SET
CSNK2A1,OTUD5
CSNK2A1,FN1
CSNK2A1,VDR
CSNK2A1,WEE1
CSNK2A1,CETN1
CSNK2A1,CSNK2A1
CSNK2A1,CDK1
CSNK2A1,FOSB
CSNK2A1,MLH1
CSNK2A1,PGR
CSNK2A1,SNCA
CSNK2A1,PDCD5
CSNK2A1,F5
CSNK2A1,LIG1
CSNK2A1,RPS6KA4
CSNK2A1,MYBL2
CSNK2A1,TFAP2A
CSNK2A1,RGS19
CSNK2A1,NR1H3
CSNK2A1,ACE2
CSNK2A1,EIF4G1
CSNK2A1,PIK3R1
CSNK2A1,GMNN
AURKA,SDCBP
AURKA,CRMP1
AURKA,WDR62
AURKA,FAF1
AURKA,AURKA
AURKA,SECISBP2L
AURKA,ARPC1B
AURKA,NUMA1
AURKA,MCRS1
AURKA,SPAG5
AURKA,DCTN1
AURKA,RUNX3
AURKA,ALDH1A1
AURKA,YAP1
AURKA,ARHGEF2
AURKA,SPIN1
AURKA,BRCA1
AURKA,SKI
AURKA,LDHB
AURKA,MYBBP1A
AURKA,GSK3B
AURKA,PHLDA1
AURKA,CENPJ
AURKA,CETN2
AURKA,KIF4A
AURKA,HAUS8
AURKA,VHL
AURKA,LIMK2
AURKA,PARD3
AURKA,NEDD1
AURKA,PLK1
AURKA,ESR1
AURKA,NPM1
AURKA,DLGAP5
AURKA,FADD
AURKA,LATS2
AURKA,TP73
AURKA,NDC80
AURKA,MBD3
AURKA,RBBP8
AURKA,H3C1
AURKA,MAP9
AURKA,SIRT1
AURKA,PSEN2
AURKA,KCTD12
AURKA,BCL2L11
AURKA,NFKBIA
AURKA,PKD2
AURKA,NEDD9
AURKA,TPX2
AURKA,MAPRE3
AURKA,TP53
AURKA,POU6F1
AURKA,PHB2
AURKA,PIN1
