,aCD3_5min,aCD3_aCD226_5min,aCD3_aICOS_5min,aCD3_aCD2_5min,aCD3_10min,aCD3_aCD226_10min,aCD3_aICOS_10min,aCD3_aCD2_10min
aCD3_5min,1.0,0.7719590027481593,0.7318658639926696,0.7381037688548163,0.6946511663548663,0.6983977196786336,0.7078001126236665,0.7339899583080798
aCD3_aCD226_5min,0.7719590027481593,1.0,0.7527084556615279,0.7682345168298949,0.7025815546437342,0.6907145762797084,0.7149184825011161,0.7388533174610268
aCD3_aICOS_5min,0.7318658639926696,0.7527084556615279,1.0,0.740085726856239,0.7057778130863197,0.6910226166370643,0.7176011182236357,0.7344106028391489
aCD3_aCD2_5min,0.7381037688548163,0.7682345168298949,0.740085726856239,1.0,0.6601097874726107,0.6457271500353768,0.6809951862749539,0.7148476428590383
aCD3_10min,0.6946511663548663,0.7025815546437342,0.7057778130863197,0.6601097874726107,1.0,0.7136476897895214,0.7109637908699659,0.7149870056486408
aCD3_aCD226_10min,0.6983977196786336,0.6907145762797084,0.6910226166370643,0.6457271500353768,0.7136476897895214,1.0,0.7199693041799624,0.7254459428354985
aCD3_aICOS_10min,0.7078001126236665,0.7149184825011161,0.7176011182236357,0.6809951862749539,0.7109637908699659,0.7199693041799624,1.0,0.7429499873816718
aCD3_aCD2_10min,0.7339899583080798,0.7388533174610268,0.7344106028391489,0.7148476428590383,0.7149870056486408,0.7254459428354985,0.7429499873816718,1.0
