term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Measles,2,22,13,1993,15.23076923076923,0.010966873399571014
Hepatitis C,2,22,27,1993,7.281481481481482,0.038671952183495
Chemokine signaling pathway,2,22,30,1993,6.543333333333333,0.046324764698754746
mTOR signaling pathway,2,22,30,1993,6.543333333333333,0.046324764698754746
Leukocyte transendothelial migration,2,22,32,1993,6.128125,0.051714188743427834
Cytokine-cytokine receptor interaction,1,22,4,1993,23.678571428571427,0.05346339526415244
Type II diabetes mellitus,1,22,5,1993,18.933333333333334,0.0638234974055398
Intestinal immune network for IgA production,1,22,5,1993,18.933333333333334,0.0638234974055398
Amoebiasis,1,22,6,1993,15.76984126984127,0.07407530579632038
Protein processing in endoplasmic reticulum,1,22,8,1993,11.81547619047619,0.09425834560693745
Apoptosis,1,22,9,1993,10.497354497354497,0.10419170373088928
Salivary secretion,1,22,9,1993,10.497354497354497,0.10419170373088928
Pancreatic secretion,1,22,9,1993,10.497354497354497,0.10419170373088928
Aldosterone-regulated sodium reabsorption,1,22,9,1993,10.497354497354497,0.10419170373088928
Small cell lung cancer,1,22,9,1993,10.497354497354497,0.10419170373088928
Meiosis - yeast,1,22,12,1993,7.861111111111111,0.13337168059381782
Chagas disease (American trypanosomiasis),1,22,13,1993,7.252747252747253,0.14289506871916044
DNA replication,1,22,13,1993,7.252747252747253,0.14289506871916044
Cell cycle - yeast,1,22,16,1993,5.883928571428571,0.17086954780461802
Toxoplasmosis,1,22,17,1993,5.535014005602241,0.17999911234330582
Jak-STAT signaling pathway,1,22,17,1993,5.535014005602241,0.17999911234330582
Colorectal cancer,1,22,18,1993,5.224867724867725,0.189032672447686
Bacterial invasion of epithelial cells,1,22,19,1993,4.947368421052632,0.19797119008603814
Calcium signaling pathway,1,22,19,1993,4.947368421052632,0.19797119008603814
Toll-like receptor signaling pathway,1,22,20,1993,4.697619047619048,0.20681561806503931
