term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
muscle structure development,3,27,18,1988,13.680555555555555,0.002431249092699471
muscle organ development,3,27,18,1988,13.680555555555555,0.002431249092699471
positive regulation of histone methylation,2,27,5,1988,31.728,0.003484919943555768
regulation of histone methylation,2,27,7,1988,22.64,0.005875998747677214
negative regulation of lymphocyte apoptosis,2,27,8,1988,19.8,0.007284475844482204
response to glucose stimulus,2,27,8,1988,19.8,0.007284475844482204
response to monosaccharide stimulus,2,27,8,1988,19.8,0.007284475844482204
response to hexose stimulus,2,27,8,1988,19.8,0.007284475844482204
regulation of lymphocyte apoptosis,2,27,10,1988,15.824,0.010508736591534326
cellular response to unfolded protein,2,27,11,1988,14.378181818181819,0.01231729589576636
cellular response to topologically incorrect protein,2,27,11,1988,14.378181818181819,0.01231729589576636
negative regulation of leukocyte apoptosis,2,27,11,1988,14.378181818181819,0.01231729589576636
endoplasmic reticulum unfolded protein response,2,27,11,1988,14.378181818181819,0.01231729589576636
response to carbohydrate stimulus,2,27,12,1988,13.173333333333334,0.014252102034547052
response to topologically incorrect protein,2,27,12,1988,13.173333333333334,0.014252102034547052
response to endoplasmic reticulum stress,2,27,12,1988,13.173333333333334,0.014252102034547052
ER-nucleus signaling pathway,2,27,12,1988,13.173333333333334,0.014252102034547052
response to unfolded protein,2,27,12,1988,13.173333333333334,0.014252102034547052
proteolysis,3,27,39,1988,6.246794871794871,0.017398147537482377
regulation of leukocyte apoptosis,2,27,15,1988,10.522666666666666,0.020779839151704192
positive regulation of histone modification,2,27,17,1988,9.275294117647059,0.025701366845044312
negative regulation of programmed cell death,4,27,104,1988,3.150501672240803,0.052842759245129066
negative regulation of apoptosis,4,27,104,1988,3.150501672240803,0.052842759245129066
regulation of histone modification,2,27,27,1988,5.810370370370371,0.05622507352246572
negative regulation of cell death,4,27,110,1988,2.9691699604743085,0.06228341138960524
