term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
protein targeting to membrane,4,19,10,1996,52.96,5.3359406620899044e-06
regulation of cytoplasmic mRNA processing body assembly,3,19,2,1996,186.9375,7.0323549346827585e-06
stress granule assembly,3,19,5,1996,74.6625,3.8680756848844185e-05
cell projection organization,6,19,76,1996,11.65991902834008,6.712593361749385e-05
receptor-mediated endocytosis,4,19,24,1996,21.91111111111111,0.00010034941348517643
endocytosis,5,19,57,1996,12.149122807017545,0.00019557032541498942
membrane invagination,5,19,61,1996,11.32903981264637,0.00026378928060142405
neuron projection development,3,19,14,1996,26.544642857142858,0.00044507744225675676
cytoplasmic mRNA processing body assembly,2,19,4,1996,58.588235294117645,0.0012358898118691355
cellular membrane organization,6,19,146,1996,5.848261327713383,0.0019858261928029355
cellular component organization at cellular level,13,19,658,1996,4.405775075987842,0.0022069949718673846
neuron projection morphogenesis,3,19,26,1996,14.20673076923077,0.002226010496448805
cellular component organization or biogenesis at cellular level,13,19,660,1996,4.3858585858585855,0.0022507751644401243
membrane organization,6,19,156,1996,5.443786982248521,0.0027629534528192034
neuromuscular process,2,19,7,1996,33.42857142857143,0.0029164025529222295
protein targeting,4,19,63,1996,8.182010582010582,0.0029700000515061366
central nervous system neuron differentiation,2,19,8,1996,29.235294117647058,0.003625027791828506
cell projection morphogenesis,3,19,33,1996,11.153409090909092,0.004171384707566168
protein monoubiquitination,2,19,9,1996,25.973856209150327,0.004405713286395247
regulation of multicellular organism growth,2,19,10,1996,23.36470588235294,0.005257182490723855
cell part morphogenesis,3,19,37,1996,9.927364864864865,0.005635784282225999
transport,9,19,398,1996,3.61356783919598,0.00686435404702505
vesicle-mediated transport,5,19,131,1996,5.084514721919302,0.0070005671955315945
neuron differentiation,2,19,12,1996,19.45098039215686,0.0071674432447935785
endosome transport,3,19,42,1996,8.723214285714286,0.007855999795638833
