term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
androgen receptor signaling pathway,3,25,19,1990,14.145933014354068,0.002225225523381881
steroid hormone receptor signaling pathway,3,25,21,1990,12.785714285714286,0.002876969917452028
microtubule-based process,5,25,98,1990,4.826530612244898,0.007417526028506785
macromolecule modification,0,25,389,1990,0.0,0.008478367420171018
protein modification process,0,25,372,1990,0.0,0.008609895466431226
intracellular receptor mediated signaling pathway,3,25,33,1990,8.086776859504132,0.009198385120159629
protein localization to organelle,3,25,35,1990,7.616883116883117,0.010691578142351181
negative regulation of phosphatase activity,2,25,12,1990,14.333333333333334,0.012278367069953762
maintenance of location in cell,3,25,38,1990,7.0047846889952154,0.013182753616940695
microtubule cytoskeleton organization,4,25,74,1990,4.931788931788931,0.014150734011824512
attachment of spindle microtubules to chromosome,2,25,14,1990,12.273291925465838,0.015947380698930966
maintenance of location,3,25,41,1990,6.482261640798226,0.015981554633318414
cell cycle checkpoint,3,25,42,1990,6.324675324675325,0.016983773711556717
protein localization to chromosome,2,25,16,1990,10.728260869565217,0.02002704093852446
regulation of G-protein coupled receptor protein signaling pathway,2,25,17,1990,10.092071611253196,0.02221433094449171
regulation of cell growth,3,25,51,1990,5.184491978609626,0.02758540441689023
cell cycle phase,4,25,94,1990,3.8419452887537995,0.030293709433363087
regulation of cell cycle arrest,3,25,53,1990,4.983704974271012,0.030330037448142007
cellular protein localization,3,25,55,1990,4.797520661157025,0.03321582781109243
positive regulation of protein complex assembly,2,25,22,1990,7.778656126482214,0.034525262453444644
cellular macromolecule localization,3,25,56,1990,4.709415584415584,0.03471149491129666
microtubule anchoring,2,25,23,1990,7.4366729678638945,0.03724549653772973
regulation of phosphatase activity,2,25,24,1990,7.1231884057971016,0.04004632382195753
positive regulation of molecular function,0,25,295,1990,0.0,0.040165255904157954
regulation of cellular component organization,8,25,299,1990,2.661420421011214,0.04253050355795181
