term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
vacuolar transport,3,59,4,1956,26.142857142857142,0.0007681658021367675
lysosomal transport,3,59,4,1956,26.142857142857142,0.0007681658021367675
vesicle-mediated transport,11,59,125,1956,3.3568333333333333,0.001493302306940978
homotypic cell-cell adhesion,3,59,7,1956,14.915816326530612,0.002473022677982169
negative regulation of leukocyte apoptosis,3,59,10,1956,10.425,0.005535577719015859
regulation of lymphocyte differentiation,4,59,23,1956,6.112252964426878,0.007034307296942362
regulation of T cell differentiation in thymus,2,59,3,1956,22.842105263157894,0.007964648373920998
immunological synapse formation,2,59,3,1956,22.842105263157894,0.007964648373920998
signal transduction via phosphorylation event,2,59,3,1956,22.842105263157894,0.007964648373920998
lymphocyte aggregation,2,59,3,1956,22.842105263157894,0.007964648373920998
response to activity,2,59,3,1956,22.842105263157894,0.007964648373920998
response to amine stimulus,3,59,12,1956,8.678571428571429,0.008446813833334257
endosome transport,5,59,40,1956,4.435185185185185,0.009022771861298379
cellular response to amino acid stimulus,2,59,4,1956,17.12280701754386,0.011722832280007436
endosome to lysosome transport,2,59,4,1956,17.12280701754386,0.011722832280007436
negative regulation of T cell apoptosis,2,59,4,1956,17.12280701754386,0.011722832280007436
leukocyte aggregation,2,59,4,1956,17.12280701754386,0.011722832280007436
response to organic nitrogen,3,59,14,1956,7.4311224489795915,0.012109238664560798
regulation of leukocyte apoptosis,3,59,14,1956,7.4311224489795915,0.012109238664560798
regulation of muscle cell differentiation,3,59,14,1956,7.4311224489795915,0.012109238664560798
regulation of smooth muscle cell differentiation,2,59,5,1956,13.69122807017544,0.016104698871155704
regulation of mesenchymal cell proliferation,2,59,5,1956,13.69122807017544,0.016104698871155704
cell-cell recognition,2,59,5,1956,13.69122807017544,0.016104698871155704
cellular response to organic nitrogen,2,59,5,1956,13.69122807017544,0.016104698871155704
cellular response to amine stimulus,2,59,5,1956,13.69122807017544,0.016104698871155704
